"","sido","sigungu","sigungu_cd","2014_1","2014_2","2014_3","2014_4","2014_5","2014_6","2014_7","2014_8","2014_9","2014_10","2014_11","2014_12","2015_1","2015_2","2015_3","2015_4","2015_5","2015_6","2015_7","2015_8","2015_9","2015_10","2015_11","2015_12","2016_1","2016_2","2016_3","2016_4","2016_5","2016_6","2016_7","2016_8","2016_9","2016_10","2016_11","2016_12","2017_1","2017_2","2017_3","2017_4","2017_5","2017_6","2017_7","2017_8","2017_9","2017_10","2017_11","2017_12","2018_1","2018_2","2018_3","2018_4","2018_5","2018_6","2018_7","2018_8","2018_9","2018_10","2018_11","2018_12","2019_1","2019_2","2019_3","2019_4","2019_5","2019_6","2019_7","2019_8","2019_9","2019_10","2019_11","2019_12","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"1","서울","종로구",11010,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6565.182348,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6481.273051,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6387.226527,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6472.269147,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6400.826626,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6326.610046,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6246.934665,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727,6050.40727
"2","서울","중구",11020,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12857.69639,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12623.09926,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12574.02634,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12621.64963,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12623.1983,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12667.79334,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12573.91278,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286,12298.77286
"3","서울","용산구",11030,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10789.39498,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10671.14336,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10529.373,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10480.01991,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10472.71126,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10457.60493,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10520.37337,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645,10196.2645
"4","서울","성동구",11040,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17564.58206,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17615.31672,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,17749.53875,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18081.99984,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,18281.69093,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17847.01844,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,17410.35123,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517,16962.73517
"5","서울","광진구",11050,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21295.30791,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,21119.47252,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20934.78211,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20963.367,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20837.72191,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20591.40013,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,20317.83669,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719,19925.92719
"6","서울","동대문구",11060,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25592.13068,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,25338.90298,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24978.12711,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24667.37954,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24484.45775,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24353.51603,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,24116.91615,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477,23734.14477
"7","서울","중랑구",11070,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22645.12644,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22378.48651,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22221.584,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,22071.81781,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21800.29559,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21464.82847,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,21339.76231,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374,20942.8374
"8","서울","성북구",11080,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18989.17066,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18685.91355,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18323.0053,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,18070.70907,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,17737.37294,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,18012.68498,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17787.19828,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422,17517.52422
"9","서울","강북구",11090,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14197.84713,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,14021.82493,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13866.00466,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13748.782,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13523.575,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13303.07827,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,13052.98167,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634,12676.96634
"10","서울","도봉구",11100,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,17086.5402,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16959.81524,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16848.34171,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16651.91216,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16422.81685,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,16134.87107,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15750.11913,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614,15368.06614
