"","sido","sigungu","sigungu_code","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","X2016.05","X2016.06","X2016.07","X2016.08","X2016.09","X2016.10","X2016.11","X2016.12","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05","X2017.06","X2017.07","X2017.08","X2017.09","X2017.10","X2017.11","X2017.12","X2018.01","X2018.02","X2018.03","X2018.04","X2018.05","X2018.06","X2018.07","X2018.08","X2018.09","X2018.10","X2018.11","X2018.12","X2019.01","X2019.02","X2019.03","X2019.04","X2019.05","X2019.06","X2019.07","X2019.08","X2019.09","X2019.10","X2019.11","X2019.12","X2020.01","X2020.02","X2020.03","X2020.04","X2020.05","X2020.06","X2020.07","X2020.08","X2020.09","X2020.10","X2020.11","X2020.12","X2021.01","X2021.02","X2021.03","X2021.04","X2021.05","X2021.06","X2021.07","X2021.08","X2021.09","X2021.10","X2021.11","X2021.12"
"1","서울특별시","종로구",11010,13,16.35,7.6,34,75.5,123.55,211.2,167.4,94.3,54.1,41.75,16.7,9.65,21.85,9.8,83.75,33.7,95.75,242.5,92.95,19,86.5,118.55,28.05,0.5,50.8,45.75,85.4,179.75,62.95,387.85,84.05,37.5,79.65,19.6,66.3,15.2,12.3,7.95,63.55,17.05,61.05,655,349,33.75,28.25,39.35,36.15,4.75,26.3,55,145.65,231,171.25,140.05,209.8,66.5,97.25,87.05,8.2,0,23.8,26.8,47.3,37.8,74,194.4,190.5,139.8,55.5,78.8,22.6,60.5,53.1,16.3,16.9,112.4,139.6,270.4,675.7,181.5,0,120.1,4.6,18.9,7.1,110.9,124.1,183.1,104.6,168.3,211.2,131,57,62.4,7.9
"2","서울특별시","중구",11020,0,0,0,0,0,0,0,0,24,33.5,32,12.5,6.5,12.5,4.5,60,27.5,101,219.5,96.5,30.5,77,48.5,24,0,34,35.5,64.5,140.5,37,252.5,47,38,56,18,36,9,7.5,6,43.5,12,52.5,433,187,18,18,39,21,5,13.5,35,63,147,104,165,120,53.5,37,56.5,15,0,13,22.5,28,29,42,183,177,89.5,19,52,19.5,24.5,35,17.5,17,85.5,79,168.5,615.5,76.5,0,107,1,14.5,5,45.5,83.5,139.5,101,86,177.5,117.5,51.5,65,6.5
"3","서울특별시","용산구",11030,10.5,10,4,26.5,57,101.5,147,164.5,86.5,56.5,41.5,13,8,19.5,6.5,66,23,91.5,176.5,141,48.5,77.5,110.5,25,0,41.5,33,69.5,129.5,41.5,298,63,32,69.5,14.5,54.5,13,10.5,9.5,45.5,13.5,56.5,447.5,240.5,24.5,24.5,35,31,3,26.5,56,109.5,168.5,124.5,203.5,165.5,70.5,126.5,80.5,15.5,0,26,37,39,30,76.5,189.5,222.5,143,53.5,96.5,20.5,58.5,53,18,18.5,101.5,133.5,261.5,587.5,127.5,0.5,83.5,3.5,17.5,4,97.5,112,167.5,74,107.5,235,125.5,46,67,3
"4","서울특별시","성동구",11040,12.5,12,6,28,63.5,206.5,203,170.5,104.5,56.5,41.5,12,8.5,21.5,7.5,83.5,26.5,102,213.5,65,33,84,120,26,0,39.5,35.5,72,146,49,348.5,56,41,78.5,18.5,67,14,13,10,61.5,14.5,51.5,559.5,349.5,25.5,30,42,36.5,5.5,22,60.5,137.5,233.5,112.5,195.5,228,73,138,77,14.5,0,30,34.5,47,29.5,75.5,269,196,128,55.5,88,23,61.5,47,16.5,18.5,105,130,288,641,170.5,0.5,86.5,2,14.5,3.5,103,114.5,168.5,78,115.5,244.5,2.5,21,68.5,4
"5","서울특별시","광진구",11050,12.5,10.5,7.5,28.5,51,180,165.5,204,80,63,41,9,10,22,6.5,91,29.5,94.5,185,118.5,34.5,78,138,24.5,0,38.5,9,81,151.5,66,379.5,66,68,71,16,64.5,14,13.5,12.5,57,16.5,37.5,417.5,322,19,33,42.5,26.5,5,19.5,61,126.5,108,110.5,186.5,194.5,84.5,145.5,68,15,0,30,36,49,27,74.5,294.5,241.5,130.5,68,96.5,22.5,63,3,9,10.5,72.5,76,252,673.5,135.5,12.5,74.5,1.5,10,1.5,67.5,87,136,67,125.5,208.5,127.5,47.5,65,3
"6","서울특별시","동대문구",11060,14,14,9.5,29,70,109.5,198,195,157.5,56.5,42.5,14,10,21.5,8.5,85,29,38.5,219,80,39,87,117.5,27,0,43.5,36,79.5,144.5,44.5,371.5,70.5,37.5,73,19,71.5,10,13.5,10.5,64,16,77,652,294.5,30,28.5,13.5,28,3.5,26.5,59.5,140,234.5,135.5,176.5,245.5,67.5,141,81.5,16.5,0,27,28,51,29,67.5,259,202.5,113.5,51.5,84,22.5,62.5,49,14.5,16,104.5,131,262.5,639,168.5,0,116.5,1,15.5,1.5,111,119.5,182.5,78,150.5,206,146,50.5,65.5,6.5
"7","서울특별시","중랑구",11070,12,13.5,9.5,31.5,69,137.5,181,224.5,122.5,56.5,42.5,13,9,19.5,8.5,89,28,65.5,228,148.5,36,93,131.5,26.5,0,41.5,36,80.5,150.5,54,374,58.5,50,77,18.5,68.5,13,11.5,11,65.5,19,130,621.5,297,26.5,26.5,36,34.5,6.5,28,55.5,147,208,136,168,241.5,72,142,83,17.5,0,25.5,31,28,28.5,71.5,346.5,225,136,57,85.5,20.5,54.5,44.5,15,17,90,110,268,494,169.5,0.5,98.5,1,15.5,3,104,116.5,169.5,79.5,158,135,136,44.5,62,6
"8","서울특별시","성북구",11080,12,12.5,9.5,32.5,76.5,115.5,213.5,147,121,59.5,39,15,6,16,8,72.5,32.5,78,226,131.5,12,82.5,122,22,0,50.5,47,90.5,181.5,63.5,404.5,85.5,28,81.5,17.5,70.5,10,10.5,8,63,14.5,51.5,648,331,28.5,27,31.5,33,5,29,51,137.5,233,180,193,336,57.5,133.5,91,15,0,22.5,28.5,43.5,42.5,76.5,240,194,135.5,54,76.5,15,57,42,14.5,19,118,153,270.5,786,180,0.5,120.5,1.5,13.5,3,104,135,196,133.5,131,199,142.5,82,64.5,5
"9","서울특별시","강북구",11090,8.5,14.5,11,27.5,88.5,102,247.5,122,150.5,65.5,40.5,14,8,16.5,9,73.5,36,89,245.5,138,16.5,82,126.5,21,0,50,48.5,94,170.5,44.5,376,57.5,46,77,14.5,72.5,11.5,10.5,9,64.5,12,62,587,400,26,26,33.5,35,4.5,25.5,40,119.5,209,148.5,171.5,404.5,49,123,82.5,14,0,21,28,47,44.5,61.5,264,199,138.5,45.5,79,14,60,37,10.5,18,111.5,160,249,786,158.5,1,123,1.5,12,4,102.5,126,189,138,126,191,144,67,70.5,5
"10","서울특별시","도봉구",11100,8,18.5,10,29.5,100.5,78,267,127,135.5,60,39,13,10.5,18,8.5,80.5,41.5,133,260,137.5,23.5,89,121.5,22,0,49,47.5,96,191.5,47.5,459,83,45,93.5,15.5,75,13,10,9,69,13.5,72,702,515,34.5,35.5,33,28.5,1,26.5,47.5,148,229,200,209,571,45.5,153.5,96,15,0,26,30.5,47.5,58,66.5,300.1,193,165.5,55,77,17.5,65.5,37,11.5,16,117,174.5,265.5,867.5,180,0,120.5,2,11,3,100.5,113.5,211.5,107.5,134,204,166,68.5,84.5,5.5
"11","서울특별시","노원구",11110,7.5,12,9,31.5,79,132.5,224.5,172.5,114.5,58.5,35,14,8.5,14.5,7.5,84.5,31.5,80,303.5,124.5,20.5,77.5,109,19.5,0,41.5,38,80,155,59.5,370.5,56.5,38.5,75,15,59.5,9,8.5,9.5,64,17.5,65.5,594,313.5,23.5,24.5,31,29.5,5,23.5,45,114,235.5,217.5,180,289,60,137.5,84.5,17.5,0,20.5,26,43,32,79.5,319,196.5,130.5,51.5,80,14,54.5,36,11.5,22,102.5,117,254,822,151.5,0,113,0.5,10.5,2.5,97.5,116.5,184,46,133.5,189,136.5,57.5,53.5,4.5
"12","서울특별시","은평구",11120,8,17,9.5,35.5,73,123.5,210,106,25,45.5,35,14.5,7.5,15,8.5,75.5,32.5,58,220,60.5,19,77.5,85.5,20.5,0,38,38,73.5,158,30,304,44.5,34.5,74.5,16,56,13.5,11.5,9,50.5,13.5,31,600,278,32,29,22.5,30.5,2.5,54,49,104.5,184.5,135,139,410.5,46.5,116,70.5,12.5,0,22.5,23.5,52.5,37,84.5,256.5,164.5,185,39,76,17,52.5,49,17,16,66,80.5,271,742.5,173,0.5,91.5,1.5,11,4,91.5,106,190.5,130.5,112.5,182.5,100,58,58,5
"13","서울특별시","서대문구",11130,0,0,0,0,0,0,0,0,27,55.5,43,12.5,7,19.5,8,80.5,28,83,221,75.5,18.5,77.5,100,22.5,0,45.5,39.5,76,163,44.5,357.5,80,38.5,71,16.5,65,12,11,8,52.5,18,62.5,540.5,299,35,23,37.5,35.5,5,30,57.5,133,181,142,181.5,200.5,63,121,78,14.5,0,20.5,28,41.5,30,72,190,176.5,170,47,71,17.5,53,47,15,15.5,99,142,280,644,183.5,0,122.5,2,13.5,4,105,118,180,69,158,222.5,123,50.5,59,5.5
"14","서울특별시","마포구",11140,8.5,10.5,5,33,58,117,214,179.5,78,53.5,43.5,11,6,14.5,6.5,74,28,79.5,148,84.5,16,83.5,102,23,0,43,41.5,74,157,31,332,68,56.5,70,16,59.5,10.5,8.5,7.5,57,16.5,69,505.5,278,29.5,21,22.5,32,4,29.5,31,118,200.5,142,177.5,173.5,62.5,116.5,79,15.5,0,20,28,37.5,28.5,65,149.5,174,165.5,47.5,79.5,16.5,48,39,13.5,16.5,93.5,123,245.5,534.5,97,0,44,1.5,10.5,4.5,102,118.5,155,96.5,150,233.5,127,50.5,59,3.5
"15","서울특별시","양천구",11150,7.5,13,4.5,35,59.5,122.5,228,159,84,60.5,47,12.5,9,20.5,10,74.5,28.5,72.5,212.5,124,14.5,97.5,109,26.5,0,41,40.5,82,165.5,24,388.5,59.5,26.5,74,15,65,13.5,11,7,58,21.5,41,495,300.5,34,22,46,32.5,4,27.5,60,122,173,132.5,186,174.5,57.5,130.5,72.5,14.5,0,23,29,35.5,29,82.5,208,190.5,169.5,42.5,84.5,17.5,52.5,45,12.5,17,94,109.5,253,608,177,1,117,4,15.5,4,105,117.5,176.5,106.5,162,258.5,127,54,69,4.5
"16","서울특별시","강서구",11160,6,14,4.5,38.5,60,112,205.5,132,86.5,47,40.5,12,8,20,8.5,70,29,105.5,179.5,66,10.5,78.5,98,24.5,0,38,36,71,149,18.5,328,61,55,65.5,18,57,17.5,13,7.5,48.5,22,46,498.5,258,33.5,28,34.5,33.5,4.5,25,54.5,110.5,152,165.5,156,259,43.5,112,67.5,13.5,0,24,25,36,31.5,84,209.5,160.5,196.5,32.5,80,20,57.5,46.5,10,12.5,98.5,92,219,626.5,139.5,0,87.5,1.5,10,3,92.5,118,199.5,54,137,198.5,112.5,50.5,68.5,5
"17","서울특별시","구로구",11170,9,12.5,5.5,35,58,73,198.5,156.5,82,59.5,46.5,16.5,12.5,21,10.5,63.5,31,83.5,206,85.5,26.5,98,119,31,0.5,39.5,35,70.5,154.5,19.5,325,69,59,66.5,14.5,62,13,12.5,7,52,19.5,36.5,443.5,272,26.5,23.5,8.5,36.5,3,28.5,71.5,121.5,192.5,137.5,168.5,174,60,124,77,16,0,24,32,38,28,78,186.5,188,194,43,99.5,20.5,56,53,12,21.5,100.5,103.5,259.5,531.5,177,2.5,112,6,19,4.5,104.5,111,177,78,129.5,240,123,40,78,6.5
