"","sido","sigungu","sigungu_cd","2014_1","2014_2","2014_3","2014_4","2014_5","2014_6","2014_7","2014_8","2014_9","2014_10","2014_11","2014_12","2015_1","2015_2","2015_3","2015_4","2015_5","2015_6","2015_7","2015_8","2015_9","2015_10","2015_11","2015_12","2016_1","2016_2","2016_3","2016_4","2016_5","2016_6","2016_7","2016_8","2016_9","2016_10","2016_11","2016_12","2017_1","2017_2","2017_3","2017_4","2017_5","2017_6","2017_7","2017_8","2017_9","2017_10","2017_11","2017_12","2018_1","2018_2","2018_3","2018_4","2018_5","2018_6","2018_7","2018_8","2018_9","2018_10","2018_11","2018_12","2019_1","2019_2","2019_3","2019_4","2019_5","2019_6","2019_7","2019_8","2019_9","2019_10","2019_11","2019_12","2020_1","2020_2","2020_3","2020_4","2020_5","2020_6","2020_7","2020_8","2020_9","2020_10","2020_11","2020_12","2021_1","2021_2","2021_3","2021_4","2021_5","2021_6","2021_7","2021_8","2021_9","2021_10","2021_11","2021_12"
"1","서울","종로구",11010,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.794,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,97.59,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.988,96.401,96.401,96.401,96.401,96.401,96.401,96.401,96.401,96.401,96.401,96.401,96.401,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.635,95.102,95.102,95.102,95.102,95.102,95.102,95.102,95.102,95.102,95.102,95.102,95.102,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.205,94.205,94.205,94.205,94.205,94.205,94.205,94.205,94.205,94.205,94.205,94.205
"2","서울","중구",11020,100.002,100.002,100.002,100.002,100.002,100.002,100.002,100.002,100.002,100.002,100.002,100.002,99.431,99.431,99.431,99.431,99.431,99.431,99.431,99.431,99.431,99.431,99.431,99.431,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.666,98.104,98.104,98.104,98.104,98.104,98.104,98.104,98.104,98.104,98.104,98.104,98.104,97.129,97.129,97.129,97.129,97.129,97.129,97.129,97.129,97.129,97.129,97.129,97.129,96.341,96.341,96.341,96.341,96.341,96.341,96.341,96.341,96.341,96.341,96.341,96.341,95.632,95.632,95.632,95.632,95.632,95.632,95.632,95.632,95.632,95.632,95.632,95.632,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848
"3","서울","용산구",11030,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.402,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.185,94.067,94.067,94.067,94.067,94.067,94.067,94.067,94.067,94.067,94.067,94.067,94.067,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.74,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.478,93.274,93.274,93.274,93.274,93.274,93.274,93.274,93.274,93.274,93.274,93.274,93.274,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.796,92.628,92.628,92.628,92.628,92.628,92.628,92.628,92.628,92.628,92.628,92.628,92.628
"4","서울","성동구",11040,99.086,99.086,99.086,99.086,99.086,99.086,99.086,99.086,99.086,99.086,99.086,99.086,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.753,98.273,98.273,98.273,98.273,98.273,98.273,98.273,98.273,98.273,98.273,98.273,98.273,97.363,97.363,97.363,97.363,97.363,97.363,97.363,97.363,97.363,97.363,97.363,97.363,96.492,96.492,96.492,96.492,96.492,96.492,96.492,96.492,96.492,96.492,96.492,96.492,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.871,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.484,95.069,95.069,95.069,95.069,95.069,95.069,95.069,95.069,95.069,95.069,95.069,95.069
"5","서울","광진구",11050,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.816,96.402,96.402,96.402,96.402,96.402,96.402,96.402,96.402,96.402,96.402,96.402,96.402,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.822,95.158,95.158,95.158,95.158,95.158,95.158,95.158,95.158,95.158,95.158,95.158,95.158,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.544,94.022,94.022,94.022,94.022,94.022,94.022,94.022,94.022,94.022,94.022,94.022,94.022,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.275,93.248,93.248,93.248,93.248,93.248,93.248,93.248,93.248,93.248,93.248,93.248,93.248
"6","서울","동대문구",11060,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.736,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.455,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.119,100.001,100.001,100.001,100.001,100.001,100.001,100.001,100.001,100.001,100.001,100.001,100.001,99.474,99.474,99.474,99.474,99.474,99.474,99.474,99.474,99.474,99.474,99.474,99.474,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.869,98.094,98.094,98.094,98.094,98.094,98.094,98.094,98.094,98.094,98.094,98.094,98.094,97.594,97.594,97.594,97.594,97.594,97.594,97.594,97.594,97.594,97.594,97.594,97.594
"7","서울","중랑구",11070,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.909,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.567,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.415,99.231,99.231,99.231,99.231,99.231,99.231,99.231,99.231,99.231,99.231,99.231,99.231,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.831,98.452,98.452,98.452,98.452,98.452,98.452,98.452,98.452,98.452,98.452,98.452,98.452,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.809,97.388,97.388,97.388,97.388,97.388,97.388,97.388,97.388,97.388,97.388,97.388,97.388
"8","서울","성북구",11080,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.507,96.024,96.024,96.024,96.024,96.024,96.024,96.024,96.024,96.024,96.024,96.024,96.024,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.463,95.19,95.19,95.19,95.19,95.19,95.19,95.19,95.19,95.19,95.19,95.19,95.19,94.615,94.615,94.615,94.615,94.615,94.615,94.615,94.615,94.615,94.615,94.615,94.615,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.964,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.137,93.105,93.105,93.105,93.105,93.105,93.105,93.105,93.105,93.105,93.105,93.105,93.105
"9","서울","강북구",11090,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.303,97.058,97.058,97.058,97.058,97.058,97.058,97.058,97.058,97.058,97.058,97.058,97.058,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,96.71,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.988,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.694,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.343,95.08,95.08,95.08,95.08,95.08,95.08,95.08,95.08,95.08,95.08,95.08,95.08,94.936,94.936,94.936,94.936,94.936,94.936,94.936,94.936,94.936,94.936,94.936,94.936
"10","서울","도봉구",11100,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.432,97.091,97.091,97.091,97.091,97.091,97.091,97.091,97.091,97.091,97.091,97.091,97.091,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.754,96.21,96.21,96.21,96.21,96.21,96.21,96.21,96.21,96.21,96.21,96.21,96.21,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.906,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.737,95.189,95.189,95.189,95.189,95.189,95.189,95.189,95.189,95.189,95.189,95.189,95.189,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848,94.848
